t_d,pH,COD_mg/L,NH3_N_mg/L,TN_mg/L,TP_mg/L,qvm_L/s,,,,,,,,,,,,,,,,
75,6.6,357.95,12.49,22.12,1.82,391.47,,,,,,,,,,,,,,,,
76,6.68,355.46,12.53,22.004,1.81,386.24,,,,,,,,,,,,,,,,
77,6.67,368.14,12.11,20.872,1.8,378.77,,,,,,,,,,,,,,,,
78,6.66,245.66,11.85,17.106,1.8,366.78,,,,,,,,,,,,,,,,
79,6.64,266.47,11.69,18.89,1.8,379.13,,,,,,,,,,,,,,,,
80,6.6,281.99,11.95,21.946,1.8,373.95,,,,,,,,,,,,,,,,
81,6.61,287.74,11.76,23.284,1.79,374.92,,,,,,,,,,,,,,,,
82,6.5,230.65,11.53,23.233,1.79,371.41,,,,,,,,,,,,,,,,
83,6.43,170.97,11.65,22.184,1.79,368.78,,,,,,,,,,,,,,,,
84,6.67,161,11.67,21.846,1.79,378.16,,,,,,,,,,,,,,,,
85,6.71,182.95,12.06,23.408,1.79,375.62,,,,,,,,,,,,,,,,
86,6.66,106.49,11.32,23.997,1.79,372.57,,,,,,,,,,,,,,,,
87,6.66,132.31,11.33,24.286,1.8,393.71,,,,,,,,,,,,,,,,
88,6.51,178.79,10.74,21.103,1.79,385.58,,,,,,,,,,,,,,,,
89,6.47,183.65,11.12,19.679,1.78,377.97,,,,,,,,,,,,,,,,
90,6.62,189.95,10.95,20.305,1.78,360.01,,,,,,,,,,,,,,,,
91,6.69,176.57,11.2,19.618,1.79,393.38,,,,,,,,,,,,,,,,
92,6.68,181.78,10.86,19.675,1.79,382.22,,,,,,,,,,,,,,,,
93,6.67,187.79,10.66,20.384,1.79,396.39,,,,,,,,,,,,,,,,
94,6.62,177.2,11.16,19.144,1.8,370.76,,,,,,,,,,,,,,,,
95,6.58,177.09,10.95,19.426,1.79,383.51,,,,,,,,,,,,,,,,
96,6.6,182.7,10.7,19.534,1.8,381.27,,,,,,,,,,,,,,,,
97,6.7,188.58,10.7,20.51,1.79,376.04,,,,,,,,,,,,,,,,
98,6.66,189.28,10.58,19.626,1.79,370.96,,,,,,,,,,,,,,,,
99,6.64,463.61,10.67,20.988,1.78,379.23,,,,,,,,,,,,,,,,
100,6.69,184.6,10.75,19.372,1.78,372.89,,,,,,,,,,,,,,,,
101,6.66,136.07,5.87,15.074,0.93,373.74,,,,,,,,,,,,,,,,
102,6.69,151.67,0.06,15.118,0.01,380.99,,,,,,,,,,,,,,,,
103,6.7,215.75,0.06,20.76,0.01,388.89,,,,,,,,,,,,,,,,
104,6.69,201.47,0.12,19.773,0.01,384.77,,,,,,,,,,,,,,,,
105,6.69,209.9,3.95,18.754,0.44,380.49,,,,,,,,,,,,,,,,
106,6.56,201.16,10.84,17.769,1.23,372.18,,,,,,,,,,,,,,,,
107,6.7,212.27,14.11,22.66,1.46,368.63,,,,,,,,,,,,,,,,
108,6.67,207.47,13.24,21.809,1.44,364.43,,,,,,,,,,,,,,,,
109,6.67,214.16,16.43,22.124,1.87,362.79,,,,,,,,,,,,,,,,
110,6.58,212.26,14.94,21.807,1.74,368.1,,,,,,,,,,,,,,,,
