t_d,pH,COD_mg/L,NH3_N_mg/L,TN_mg/L,TP_mg/L,qvm_L/s,,,,,,,,,,,,,,,,
316,6.33,95.154,11.155,13.068,1.571,377.82,,,,,,,,,,,,,,,,
317,6.5,105.11,10.893,12.565,1.576,378.56,,,,,,,,,,,,,,,,
318,6.53,111.098,10.317,14.922,1.564,366.11,,,,,,,,,,,,,,,,
319,6.53,117.851,11.348,14.612,1.307,372.16,,,,,,,,,,,,,,,,
320,6.55,90.697,10.872,14.183,1.046,365.42,,,,,,,,,,,,,,,,
321,6.55,90.958,5.303,14.445,1.164,354.79,,,,,,,,,,,,,,,,
322,6.51,97.371,12.331,13.683,1.558,346.27,,,,,,,,,,,,,,,,
323,6.5,100.132,10.364,11.361,1.559,344.61,,,,,,,,,,,,,,,,
324,6.54,99.568,10.982,12.092,1.569,344.14,,,,,,,,,,,,,,,,
325,6.53,100.876,10.902,11.451,1.571,338.06,,,,,,,,,,,,,,,,
326,6.53,101.377,12.205,12.332,1.69,353.45,,,,,,,,,,,,,,,,
327,6.52,105.937,11.864,15.678,2.075,349.23,,,,,,,,,,,,,,,,
328,6.53,100.396,12.206,15.802,2.056,348.93,,,,,,,,,,,,,,,,
329,6.53,156.779,11.375,21.368,2.627,354.82,,,,,,,,,,,,,,,,
330,6.5,91.844,12.292,22.172,2.991,363.3,,,,,,,,,,,,,,,,
331,6.47,111.276,11.763,17.936,2.532,367.25,,,,,,,,,,,,,,,,
332,6.47,104.745,12.195,17.207,2.46,357.44,,,,,,,,,,,,,,,,
333,6.43,197.5,10.673,16.857,2.422,363.76,,,,,,,,,,,,,,,,
334,6.49,101.309,11.313,16.739,2.405,352.99,,,,,,,,,,,,,,,,
335,6.56,102.46,10.609,16.041,2.404,373.19,,,,,,,,,,,,,,,,
336,6.53,102.3,11.221,16.182,2.39,381.37,,,,,,,,,,,,,,,,
337,6.53,97.226,10.491,16.229,2.397,406.8,,,,,,,,,,,,,,,,
338,6.55,92.255,11.808,16.172,2.394,402.1,,,,,,,,,,,,,,,,
339,6.54,118.433,13.027,20.709,2.251,375.23,,,,,,,,,,,,,,,,
340,6.54,100.538,11.622,22.219,1.6,372.5,,,,,,,,,,,,,,,,
341,6.53,70.6,10.643,12.903,0.898,383.56,,,,,,,,,,,,,,,,
342,6.57,84.07,5.611,10.24,0.434,349.25,,,,,,,,,,,,,,,,
343,6.53,77.656,11.209,11.712,1.513,402.29,,,,,,,,,,,,,,,,
344,6.56,76.26,10.055,14.561,2.115,395.03,,,,,,,,,,,,,,,,
345,6.51,69.558,7.535,12.536,1.943,366.5,,,,,,,,,,,,,,,,
346,6.35,122.29,9.25,16.854,2.322,358.82,,,,,,,,,,,,,,,,
347,6.39,98.06,10.852,24.744,2.877,354.84,,,,,,,,,,,,,,,,
348,6.46,94.01,10.791,25.024,2.541,355.22,,,,,,,,,,,,,,,,
349,6.51,80.175,9.33,23.729,2.401,359.91,,,,,,,,,,,,,,,,
350,6.61,107.577,10.678,23.986,2.595,362.23,,,,,,,,,,,,,,,,
351,6.62,113.071,11.161,26.649,2.962,354,,,,,,,,,,,,,,,,
352,6.5,81.226,11.625,20.074,2.645,348.18,,,,,,,,,,,,,,,,
353,6.48,74.075,10.888,13.811,2.266,349.32,,,,,,,,,,,,,,,,
354,6.45,92.538,13.051,15.43,2.196,346.09,,,,,,,,,,,,,,,,
355,6.47,60.916,12.057,13.942,2.144,346.36,,,,,,,,,,,,,,,,
356,6.47,82.793,12.168,13.28,2.118,355.22,,,,,,,,,,,,,,,,
357,6.5,76.412,12.099,15.859,2.094,367.7,,,,,,,,,,,,,,,,
358,6.5,118.14,11.534,11.806,2.099,377.95,,,,,,,,,,,,,,,,
359,6.45,417.521,13.268,24.31,4.239,354.58,,,,,,,,,,,,,,,,
360,6.42,128.688,12.272,16.753,2.587,366.72,,,,,,,,,,,,,,,,
361,6.48,120.034,11.705,17.567,2.415,356.84,,,,,,,,,,,,,,,,
362,6.43,131.457,11.022,18.829,2.092,364.18,,,,,,,,,,,,,,,,
363,6.41,139.808,9.791,18.754,2.098,365.09,,,,,,,,,,,,,,,,
364,6.53,136.808,12.599,18.823,2.089,381.92,,,,,,,,,,,,,,,,
365,6.69,120.459,12.417,18.634,2.103,371.68,,,,,,,,,,,,,,,,
366,6.58,124.849,12.261,19.136,2.089,367.25,,,,,,,,,,,,,,,,
367,6.47,217.209,13.76,19.127,2.089,360.74,,,,,,,,,,,,,,,,
368,6.41,164.932,13.318,19.34,2.273,350.17,,,,,,,,,,,,,,,,
369,6.49,180.904,14.25,20.53,2.487,353.57,,,,,,,,,,,,,,,,
370,6.63,154.248,12.158,20.391,2.499,347.42,,,,,,,,,,,,,,,,
371,6.62,168.794,12.796,20.3,2.492,366.48,,,,,,,,,,,,,,,,
372,6.49,157.592,11.851,19.901,2.486,380.18,,,,,,,,,,,,,,,,
373,6.45,155.751,13.916,19.827,2.488,367.29,,,,,,,,,,,,,,,,
374,6.54,147.24,14.397,20.637,2.49,364.01,,,,,,,,,,,,,,,,
375,6.52,175.13,14.07,20.633,2.491,356.79,,,,,,,,,,,,,,,,
376,6.47,184.248,15.854,19.649,2.489,362.69,,,,,,,,,,,,,,,,
377,6.41,182.209,15.999,19.923,2.493,358.32,,,,,,,,,,,,,,,,
378,6.54,194.088,16.991,19.928,2.48,334.48,,,,,,,,,,,,,,,,
379,6.59,217.014,21.104,20.265,2.572,344.19,,,,,,,,,,,,,,,,
380,6.59,228.642,15.205,21.538,2.772,355.52,,,,,,,,,,,,,,,,
381,6.58,219.885,18.414,22.971,2.782,340.99,,,,,,,,,,,,,,,,
382,6.5,213.789,18.764,21.937,2.774,327.86,,,,,,,,,,,,,,,,
383,6.58,209.094,15.9,24.838,2.781,351.93,,,,,,,,,,,,,,,,
384,6.56,213.913,20.465,21.252,2.715,356.62,,,,,,,,,,,,,,,,
385,6.49,462.867,23.46,25.04,4.096,372.77,,,,,,,,,,,,,,,,
386,6.49,181.976,21.497,19.753,2.088,377.39,,,,,,,,,,,,,,,,
387,6.47,184.251,20.116,20.76,2.089,361.7,,,,,,,,,,,,,,,,
388,6.43,181.807,18.9,26.14,2.523,370.62,,,,,,,,,,,,,,,,
389,6.38,186.081,19.377,30.569,2.713,369.73,,,,,,,,,,,,,,,,
390,6.48,149.362,18.104,22.686,2.271,374.48,,,,,,,,,,,,,,,,
391,6.5,136.563,15.94,21.024,2.138,379.51,,,,,,,,,,,,,,,,
392,6.52,123.392,14.424,21.003,2.104,372.82,,,,,,,,,,,,,,,,
393,6.57,124.594,14.334,20.824,2.114,376.65,,,,,,,,,,,,,,,,
394,6.49,121.543,14.24,21.556,2.099,382.84,,,,,,,,,,,,,,,,
395,6.45,121.154,13.559,24.276,2.199,366.48,,,,,,,,,,,,,,,,
396,6.45,117.839,13.295,24.245,2.253,372.97,,,,,,,,,,,,,,,,
397,6.56,120.392,14.149,25.224,2.313,367.52,,,,,,,,,,,,,,,,
398,6.78,116.618,13.371,23.795,2.237,377.38,,,,,,,,,,,,,,,,
399,6.7,146.437,13.965,23.404,2.333,376.31,,,,,,,,,,,,,,,,
400,6.63,165.129,15.117,22.538,2.441,372.88,,,,,,,,,,,,,,,,
401,6.64,170.881,14.97,22.507,2.448,370.75,,,,,,,,,,,,,,,,
402,6.6,167.871,14.673,22.023,2.42,378.56,,,,,,,,,,,,,,,,
403,6.58,166.181,14.649,20.923,2.244,371.92,,,,,,,,,,,,,,,,
404,6.52,163.579,14.456,20.626,2.282,372.31,,,,,,,,,,,,,,,,
405,6.53,159.206,14.021,20.387,2.222,364.14,,,,,,,,,,,,,,,,
406,6.52,159.427,14.434,20.604,2.23,375.92,,,,,,,,,,,,,,,,
407,6.48,171.2,14.14,20.391,2.201,368.16,,,,,,,,,,,,,,,,
408,6.45,165.888,13.867,22.529,2.232,367.63,,,,,,,,,,,,,,,,
409,6.47,163.289,13.849,21.871,2.345,370.46,,,,,,,,,,,,,,,,
410,6.45,169.074,14.697,22.127,2.423,371.97,,,,,,,,,,,,,,,,
411,6.4,171.1,15.18,21.097,2.508,367.12,,,,,,,,,,,,,,,,
412,6.34,173.168,14.95,20.79,2.595,374.1,,,,,,,,,,,,,,,,
413,6.33,173.041,15.094,23.634,2.53,367.03,,,,,,,,,,,,,,,,
414,6.3,174.726,15.286,22.544,2.504,371.69,,,,,,,,,,,,,,,,
415,6.3,171.354,15.284,29.988,2.563,373,,,,,,,,,,,,,,,,
416,6.33,169.826,15.55,24.573,2.475,370.62,,,,,,,,,,,,,,,,
417,6.32,182.282,15.933,21.474,2.405,363.58,,,,,,,,,,,,,,,,
418,6.31,175.355,16.102,21.771,2.41,368.12,,,,,,,,,,,,,,,,
419,6.36,178.69,16.283,21.159,2.404,349.23,,,,,,,,,,,,,,,,
420,6.71,197.843,16.987,21.835,2.555,329.84,,,,,,,,,,,,,,,,
421,6.74,161.748,15.978,21.659,2.434,367.22,,,,,,,,,,,,,,,,
422,6.65,249.051,14.129,19.113,2.145,361.38,,,,,,,,,,,,,,,,
423,6.64,392.064,13.749,20.475,2.076,368.15,,,,,,,,,,,,,,,,
424,6.57,183.45,13.533,18.254,1.975,355.05,,,,,,,,,,,,,,,,
425,6.52,209.753,11.791,19.266,1.962,362.78,,,,,,,,,,,,,,,,
426,6.57,134.671,12.267,18.533,1.998,360.06,,,,,,,,,,,,,,,,
427,6.59,89.899,11.99,21.52,2.289,367.57,,,,,,,,,,,,,,,,
428,6.58,63.432,10.64,20.828,2.462,363.94,,,,,,,,,,,,,,,,
429,6.62,65.041,10.215,20.143,2.413,376.36,,,,,,,,,,,,,,,,
430,6.63,78.317,11.191,20.05,2.438,362.16,,,,,,,,,,,,,,,,
431,,,,,,,,,,,,,,,,,,,,,,
432,6.84,89.708,12.688,21.161,2.331,214.34,,,,,,,,,,,,,,,,
433,6.71,67.74,11.062,15.085,1.944,350.78,,,,,,,,,,,,,,,,
434,6.68,68.415,10.43,13.852,1.884,350.68,,,,,,,,,,,,,,,,
435,6.63,71.865,7.76,14.247,1.902,356.42,,,,,,,,,,,,,,,,
436,6.65,72.58,8.35,12.46,1.873,338.63,,,,,,,,,,,,,,,,
437,6.64,93.564,11.147,15.984,2.143,382.71,,,,,,,,,,,,,,,,
438,6.6,67.566,10.33,15.043,2.205,350.2,,,,,,,,,,,,,,,,
439,6.58,73.416,11.125,14.046,2.045,361.19,,,,,,,,,,,,,,,,
440,6.55,76.649,10.763,13.655,2.023,363.1,,,,,,,,,,,,,,,,
441,6.47,71.179,10.01,11.299,1.961,338,,,,,,,,,,,,,,,,
442,6.42,66.705,10.228,8.246,1.97,255.62,,,,,,,,,,,,,,,,
443,6.61,66.776,10.293,8.265,1.969,361.71,,,,,,,,,,,,,,,,
444,6.57,62.003,9.619,8.237,1.958,366.86,,,,,,,,,,,,,,,,
445,6.58,61.296,8.232,8.436,1.949,368.27,,,,,,,,,,,,,,,,
446,6.58,40.075,6.547,9.837,1.948,371.33,,,,,,,,,,,,,,,,
447,6.58,42.361,6.913,7.844,1.914,362,,,,,,,,,,,,,,,,
448,6.6,36.988,6.632,7.047,1.903,376.69,,,,,,,,,,,,,,,,
449,6.61,328.005,8.915,16.164,3.391,363.06,,,,,,,,,,,,,,,,
450,6.58,37.1,7.679,8.083,1.776,360.98,,,,,,,,,,,,,,,,
451,6.57,40.669,7.485,6.641,1.78,378.18,,,,,,,,,,,,,,,,
452,6.55,33.786,7.099,9.032,1.776,360.2,,,,,,,,,,,,,,,,
453,6.53,30.129,7.289,8.691,1.764,355.14,,,,,,,,,,,,,,,,
454,6.52,29.785,7.123,9.504,1.749,360.94,,,,,,,,,,,,,,,,
455,6.53,37.1,8.661,10.811,1.753,359.71,,,,,,,,,,,,,,,,
456,6.46,39.154,7.319,11.292,1.737,366.89,,,,,,,,,,,,,,,,
457,6.43,36.225,7.607,11.407,1.753,368.82,,,,,,,,,,,,,,,,
458,6.48,47.653,8.028,13.066,1.87,363.17,,,,,,,,,,,,,,,,
459,6.5,51.741,8.482,11.249,1.762,362.76,,,,,,,,,,,,,,,,
460,6.38,46.358,8.989,11.205,1.765,363.9,,,,,,,,,,,,,,,,
461,6.31,50.819,7.648,11.185,1.77,370.44,,,,,,,,,,,,,,,,
462,6.3,56.766,8.705,11.515,1.775,354.42,,,,,,,,,,,,,,,,
463,6.33,57.273,8.387,11.76,1.779,361.33,,,,,,,,,,,,,,,,
464,6.33,48.585,4.902,11.588,1.774,360.04,,,,,,,,,,,,,,,,
465,6.45,48.34,7.671,10.978,1.759,355.05,,,,,,,,,,,,,,,,
466,6.49,48.29,7.386,11.158,1.767,358.64,,,,,,,,,,,,,,,,
467,6.48,46.25,8.024,10.69,1.76,350.66,,,,,,,,,,,,,,,,
468,6.42,46.386,8.173,10.783,1.745,353.85,,,,,,,,,,,,,,,,
469,6.4,67.357,8.813,15.535,1.729,345.48,,,,,,,,,,,,,,,,
470,6.46,58.368,9.203,15.043,1.468,362.29,,,,,,,,,,,,,,,,
471,6.48,52.645,9.36,15.677,1.508,368.87,,,,,,,,,,,,,,,,
472,6.46,57.98,9.989,16.962,1.576,368.56,,,,,,,,,,,,,,,,
473,6.4,60.092,11.01,16.654,1.59,365.74,,,,,,,,,,,,,,,,
474,6.47,65.773,10.779,17.22,1.57,372.24,,,,,,,,,,,,,,,,
475,6.45,67.988,11.058,16.94,1.568,369.77,,,,,,,,,,,,,,,,
476,6.35,406.73,11.685,24.493,3.68,359.38,,,,,,,,,,,,,,,,
477,6.37,78.021,10.521,15.163,1.7,363.3,,,,,,,,,,,,,,,,
478,6.47,78.418,11.914,16.196,1.677,341.16,,,,,,,,,,,,,,,,
479,6.51,95.99,11.112,16.516,1.663,351.11,,,,,,,,,,,,,,,,
480,6.45,81.363,10.811,10.347,1.445,347.92,,,,,,,,,,,,,,,,
481,6.42,93.105,9.992,8.225,1.349,361.55,,,,,,,,,,,,,,,,
482,6.45,88.881,9.176,9.227,1.288,362.5,,,,,,,,,,,,,,,,
483,6.49,104.883,9.365,8.4,1.249,365.45,,,,,,,,,,,,,,,,
484,6.5,86.998,9.645,8.725,1.217,366.64,,,,,,,,,,,,,,,,
485,6.46,79.039,9.057,11.73,1.597,358.1,,,,,,,,,,,,,,,,
486,6.48,61.5,10.871,8.293,1.577,360.66,,,,,,,,,,,,,,,,
487,6.45,61.442,11.393,7.295,1.556,354.24,,,,,,,,,,,,,,,,
488,6.44,68.731,12.306,6.501,1.551,356.5,,,,,,,,,,,,,,,,
489,6.42,74.624,13.011,7.197,1.544,359.14,,,,,,,,,,,,,,,,
490,6.4,72.153,12.87,7.273,1.541,374.31,,,,,,,,,,,,,,,,
491,6.34,72.728,13.4,10.279,1.716,358.93,,,,,,,,,,,,,,,,
492,6.35,70.365,11.457,17.282,2.159,370.94,,,,,,,,,,,,,,,,
493,6.33,72.6,12.457,16.59,2.003,359.66,,,,,,,,,,,,,,,,
494,6.35,62.786,10.998,12.307,1.733,364.55,,,,,,,,,,,,,,,,
495,6.35,60.235,11.438,7.37,1.436,352.45,,,,,,,,,,,,,,,,
496,6.37,66.276,10.886,10.572,1.541,349.23,,,,,,,,,,,,,,,,
497,6.36,70.256,10.835,13.172,1.613,361.41,,,,,,,,,,,,,,,,
498,,,,,,,,,,,,,,,,,,,,,,
499,6.47,80.82,3.476,17.434,1.795,391.86,,,,,,,,,,,,,,,,
500,6.52,92.781,12.189,16.356,2.393,342.72,,,,,,,,,,,,,,,,
501,6.5,69.209,9.638,17.681,2.033,355.61,,,,,,,,,,,,,,,,
502,6.46,60.523,9.399,16.079,1.805,360.91,,,,,,,,,,,,,,,,
503,6.42,65.639,10.02,17.094,1.943,364.14,,,,,,,,,,,,,,,,
504,6.44,73.438,11.467,19.903,2.19,367.95,,,,,,,,,,,,,,,,
505,6.42,69.964,9.73,14.972,2.007,375.03,,,,,,,,,,,,,,,,
506,6.43,70.948,8.494,12.487,1.661,367.87,,,,,,,,,,,,,,,,
507,6.41,69.668,9.313,11.452,1.607,363.18,,,,,,,,,,,,,,,,
508,6.42,73.601,10.088,12.006,1.691,384.15,,,,,,,,,,,,,,,,
509,6.36,84.119,9.204,13.21,1.598,360.6,,,,,,,,,,,,,,,,
510,6.3,115.093,10.125,15.719,2.074,354.08,,,,,,,,,,,,,,,,
511,6.29,69.17,9.387,15.051,1.921,355.99,,,,,,,,,,,,,,,,
512,6.31,68.135,10.057,15.317,1.904,362.58,,,,,,,,,,,,,,,,
513,6.31,83.341,10.378,12.942,1.831,356.68,,,,,,,,,,,,,,,,
514,6.53,80.862,9.341,12.778,1.11,358.15,,,,,,,,,,,,,,,,
515,6.38,64.369,10.409,10.66,0.718,366.37,,,,,,,,,,,,,,,,
516,6.29,74.846,9.265,12.346,1,374.22,,,,,,,,,,,,,,,,
517,6.3,76.518,12.39,15.831,1.865,383.93,,,,,,,,,,,,,,,,
518,6.33,84.423,11.214,16.305,1.901,365.14,,,,,,,,,,,,,,,,
519,6.31,75.084,13.147,15.364,1.854,362.1,,,,,,,,,,,,,,,,
520,6.34,76.369,12.332,16.669,1.91,367.69,,,,,,,,,,,,,,,,
521,6.29,74.324,13.441,15.912,1.913,361.02,,,,,,,,,,,,,,,,
522,6.25,80.267,12.63,16.413,1.955,364.12,,,,,,,,,,,,,,,,
523,6.22,85.326,14.861,16.836,1.989,377.26,,,,,,,,,,,,,,,,
524,6.27,89.9,14.024,18.152,2.016,367.05,,,,,,,,,,,,,,,,
525,6.21,83.375,14.782,17.92,2.013,368.89,,,,,,,,,,,,,,,,
526,6.16,83.557,12.645,18.434,1.983,358.88,,,,,,,,,,,,,,,,
527,6.27,82.984,14.777,16.471,1.891,363.87,,,,,,,,,,,,,,,,
528,6.25,82.991,13.621,16.769,1.954,363.41,,,,,,,,,,,,,,,,
529,6.21,78.538,15.834,16.726,1.972,366.04,,,,,,,,,,,,,,,,
530,6.27,77.915,14.63,16.942,1.997,364.69,,,,,,,,,,,,,,,,
531,6.11,91.497,14.08,18.216,2.053,356.51,,,,,,,,,,,,,,,,
532,6.25,108.859,12.44,17.411,2.075,372.37,,,,,,,,,,,,,,,,
533,6.24,78.112,14.873,17.73,1.895,366.53,,,,,,,,,,,,,,,,
534,6.23,77.902,12.693,16.812,1.867,357,,,,,,,,,,,,,,,,
535,6.25,81.417,14.428,15.949,1.895,362.75,,,,,,,,,,,,,,,,
536,6.23,552.947,13.081,21.051,3.488,377.03,,,,,,,,,,,,,,,,
537,6.28,65.678,12.62,13.908,0.848,370.86,,,,,,,,,,,,,,,,
538,6.23,61.169,10.952,14.153,0.933,368.42,,,,,,,,,,,,,,,,
539,6.19,63.1,12.483,14.201,1.155,362.11,,,,,,,,,,,,,,,,
540,6.22,72.604,10.658,15.087,1.352,373.64,,,,,,,,,,,,,,,,
541,6.27,77.174,13.651,14.094,1.338,358.73,,,,,,,,,,,,,,,,
542,6.32,82.168,8.141,12.588,1.21,371.3,,,,,,,,,,,,,,,,
543,6.28,71.448,12.247,13.746,1.319,362.4,,,,,,,,,,,,,,,,
544,6.3,74.437,11.367,15.36,1.438,368.09,,,,,,,,,,,,,,,,
545,6.31,93.786,10.383,16.972,1.507,358.27,,,,,,,,,,,,,,,,
546,6.31,89.277,12.154,16.442,1.468,370.05,,,,,,,,,,,,,,,,
547,6.28,75.413,13.88,17.175,1.571,380.37,,,,,,,,,,,,,,,,
548,6.26,73.546,7.233,17.573,1.545,377.06,,,,,,,,,,,,,,,,
549,,,,,,,,,,,,,,,,,,,,,,
550,6.3,74.682,3.639,15.556,1.49,379.18,,,,,,,,,,,,,,,,
551,6.25,65.673,7.62,15.838,1.38,360.47,,,,,,,,,,,,,,,,
552,6.26,62.957,11.112,14.733,1.281,357.55,,,,,,,,,,,,,,,,
553,6.25,61.007,9.811,11.871,1.276,375.79,,,,,,,,,,,,,,,,
554,6.22,66.308,8.296,15.071,1.383,365.77,,,,,,,,,,,,,,,,
555,6.21,56.303,11.38,16.167,1.474,383.74,,,,,,,,,,,,,,,,
556,6.24,48.105,11.145,15.687,1.494,375.9,,,,,,,,,,,,,,,,
557,,,,,,,,,,,,,,,,,,,,,,
558,6.22,55.461,12.881,17.191,1.487,368.7,,,,,,,,,,,,,,,,
559,6.23,45.857,13.078,17.163,1.539,381.81,,,,,,,,,,,,,,,,
560,6.22,43.963,12.192,14.956,1.436,370.32,,,,,,,,,,,,,,,,
561,6.2,93.365,14.613,15.298,1.278,359.35,,,,,,,,,,,,,,,,
562,6.27,73.762,9.043,14.202,1.87,363.13,,,,,,,,,,,,,,,,
563,6.2,67.696,10.959,14.343,1.693,365.01,,,,,,,,,,,,,,,,
564,6.2,65.105,11.786,12.834,1.697,380.4,,,,,,,,,,,,,,,,
565,6.22,82.465,12.934,16.267,1.837,377.34,,,,,,,,,,,,,,,,
566,6.21,95.49,13.549,6.187,1.101,376.68,,,,,,,,,,,,,,,,
567,6.19,390.726,14.805,20.335,3.725,379.17,,,,,,,,,,,,,,,,
568,6.11,82.827,11.544,7.863,1.119,365.64,,,,,,,,,,,,,,,,
569,6.2,123.059,13.327,17.682,1.52,348.73,,,,,,,,,,,,,,,,
570,6.16,111.997,14.181,17.487,1.572,355.19,,,,,,,,,,,,,,,,
571,6.22,99.613,12.885,16.212,1.362,368.09,,,,,,,,,,,,,,,,
572,6.2,93.795,14.256,18.04,1.477,373.9,,,,,,,,,,,,,,,,
573,,,,,,,,,,,,,,,,,,,,,,
574,6.27,72.678,12.964,16.581,1.263,368.26,,,,,,,,,,,,,,,,
575,6.13,139.509,14.918,18.105,2.181,300.44,,,,,,,,,,,,,,,,
576,6.17,76.502,14.528,16.967,1.402,376.95,,,,,,,,,,,,,,,,
577,6.16,78.694,15.698,18.41,1.331,392.2,,,,,,,,,,,,,,,,
578,6.17,67.784,15.105,19.877,1.443,378.57,,,,,,,,,,,,,,,,
579,6.15,57.347,16.287,19.055,1.406,369.83,,,,,,,,,,,,,,,,
580,6.21,58.093,16.89,19.311,1.393,383.93,,,,,,,,,,,,,,,,
581,6.16,55.573,16.491,18.307,1.495,365.48,,,,,,,,,,,,,,,,
582,6.18,51.015,15.741,18.169,1.414,370.07,,,,,,,,,,,,,,,,
583,,,,,,,,,,,,,,,,,,,,,,
584,6.132,36.38,3.873,16.699,0.454,387.42,,,,,,,,,,,,,,,,
585,6.114,101.558,10.275,21.319,41.265,370.14,,,,,,,,,,,,,,,,
586,6.249,104.445,12.355,20.064,1.466,389.22,,,,,,,,,,,,,,,,
587,6.218,100.522,12.315,15.747,1.183,367.99,,,,,,,,,,,,,,,,
588,6.12,106.305,13.768,13.789,0.937,358.18,,,,,,,,,,,,,,,,
589,6.134,79.977,12.511,24.72,1.218,349.86,,,,,,,,,,,,,,,,
590,6.168,94.971,14.022,24.208,1.48,375.69,,,,,,,,,,,,,,,,
591,6.677,90.587,12.439,23.784,1.406,378.27,,,,,,,,,,,,,,,,
592,7.081,91.744,14.281,24.134,1.462,386.46,,,,,,,,,,,,,,,,
593,7.115,88,11.783,28.146,1.528,381.3,,,,,,,,,,,,,,,,
594,7.066,92.294,15.425,26.475,1.615,392.84,,,,,,,,,,,,,,,,
595,7.097,96.888,15.36,24.342,1.821,381.3,,,,,,,,,,,,,,,,
596,6.971,75.633,12.21,20.041,1.259,436.66,,,,,,,,,,,,,,,,
597,6.982,67.412,7.855,21.012,1.231,363.99,,,,,,,,,,,,,,,,
598,7.07,76.476,9.518,22.013,1.295,387.92,,,,,,,,,,,,,,,,
599,7.094,90.376,8.554,23.792,1.419,374.86,,,,,,,,,,,,,,,,
600,7.104,90.174,7.045,21.656,1.394,372.85,,,,,,,,,,,,,,,,
601,7.099,91.537,7.883,19.813,1.312,372.02,,,,,,,,,,,,,,,,
602,7.144,99.009,12.875,12.761,1.065,385.66,,,,,,,,,,,,,,,,
603,7.116,74.334,12.298,20.607,1.309,367.25,,,,,,,,,,,,,,,,
604,7.274,87.334,11.848,19.705,1.38,379.93,,,,,,,,,,,,,,,,
605,7.266,91.12,13.705,16.053,1.159,382.64,,,,,,,,,,,,,,,,
606,7.22,138.114,13.125,15.233,1.549,377.13,,,,,,,,,,,,,,,,
607,7.235,87.61,14.006,21.688,1.393,382.18,,,,,,,,,,,,,,,,
608,7.198,83,12.939,17.404,1.197,336.08,,,,,,,,,,,,,,,,
609,7.248,68.842,8.477,17.125,1.247,370.08,,,,,,,,,,,,,,,,
610,7.245,55.697,7.703,17.452,1.107,388.95,,,,,,,,,,,,,,,,
611,7.234,56.246,10.353,19.76,1.167,376.47,,,,,,,,,,,,,,,,
612,7.207,71.963,9.871,17.885,1.125,364.45,,,,,,,,,,,,,,,,
613,7.177,64.865,5.111,16.518,1.344,379.54,,,,,,,,,,,,,,,,
614,7.197,65.971,11.515,16.376,1.318,375.77,,,,,,,,,,,,,,,,
615,7.285,71.118,12.029,17.495,1.383,376.77,,,,,,,,,,,,,,,,
616,7.286,83.343,12.802,17.001,1.544,382.8,,,,,,,,,,,,,,,,
617,7.264,85.668,13.075,17.359,1.446,377.46,,,,,,,,,,,,,,,,
618,7.226,102.099,13.682,17.141,1.352,368.83,,,,,,,,,,,,,,,,
619,7.233,89.896,12.715,14.984,1.416,369.99,,,,,,,,,,,,,,,,
620,7.25,85.145,11.129,14.699,1.366,365.81,,,,,,,,,,,,,,,,
621,7.268,75.981,10.966,15.096,1.334,380.26,,,,,,,,,,,,,,,,
622,7.266,90.942,11.882,14.142,1.464,380.3,,,,,,,,,,,,,,,,
623,7.201,130.548,11.717,16.28,1.508,372.48,,,,,,,,,,,,,,,,
624,7.101,89.582,10.95,18.28,1.44,367.86,,,,,,,,,,,,,,,,
625,7.185,100.738,13.213,17.936,1.627,375.1,,,,,,,,,,,,,,,,
626,7.136,377.829,14.635,20.486,3.289,364.06,,,,,,,,,,,,,,,,
627,6.797,87.544,9.785,16.129,1.274,365.69,,,,,,,,,,,,,,,,
628,7.267,84.858,10.59,16.643,1.449,373.75,,,,,,,,,,,,,,,,
629,7.258,86.767,11.19,15.047,1.575,361.89,,,,,,,,,,,,,,,,
630,7.141,97.045,10.923,16.897,1.606,358.15,,,,,,,,,,,,,,,,
631,6.936,96.323,11.944,14.754,1.639,384.23,,,,,,,,,,,,,,,,
632,6.84,98.355,13.896,13.53,1.69,363.61,,,,,,,,,,,,,,,,
633,6.86,79.727,6.99,14.211,1.523,370.46,,,,,,,,,,,,,,,,
634,6.946,80.018,8.962,15.734,1.721,373.89,,,,,,,,,,,,,,,,
635,7.026,87.57,12.568,15.845,1.793,380.94,,,,,,,,,,,,,,,,
636,7.082,90.942,12.332,16.675,1.746,373.39,,,,,,,,,,,,,,,,
637,7.084,140.905,13.077,20.739,1.932,377.12,,,,,,,,,,,,,,,,
638,7.085,105.218,13.024,18.394,1.949,372.18,,,,,,,,,,,,,,,,
639,7.135,116.125,11.795,15.829,1.891,355.32,,,,,,,,,,,,,,,,
640,7.038,89.118,12.97,16.564,2.007,362.9,,,,,,,,,,,,,,,,
641,6.939,94.707,13.698,15.939,2.053,317.77,,,,,,,,,,,,,,,,
642,7.274,111.89,14.446,19.012,2.085,367.61,,,,,,,,,,,,,,,,
643,7.226,109.665,11.127,17.717,2.224,366.47,,,,,,,,,,,,,,,,
644,7.188,119.395,16.672,18.713,2.031,377.86,,,,,,,,,,,,,,,,
645,7.153,125.544,15.729,16.865,1.848,373.43,,,,,,,,,,,,,,,,
646,7.187,126.794,9.553,18.188,1.923,368.48,,,,,,,,,,,,,,,,
647,7.275,75.454,9.312,12.648,1.465,368.33,,,,,,,,,,,,,,,,
648,7.296,100.516,13.95,12.109,1.445,369.76,,,,,,,,,,,,,,,,
649,7.281,103.238,15.196,17.027,1.845,371.56,,,,,,,,,,,,,,,,
